CurrencyIsoCode,Name,SBQQ__Template__c,SBQQ__Alignment__c,SBQQ__BottomMargin__c,SBQQ__ColumnHeadingField__c,SBQQ__ConditionalPrintField__c,SBQQ__DisplayOrder__c,SBQQ__DynamicNumberScale__c,SBQQ__FieldName__c,SBQQ__FontFamily__c,SBQQ__FontSize__c,SBQQ__FontWeight__c,SBQQ__HeadingTextColor__c,SBQQ__HideOnComponents__c,SBQQ__LeftMargin__c,SBQQ__RightMargin__c,SBQQ__RollUp__c,SBQQ__SeparateLine__c,SBQQ__SubGroupSummaryLabel__c,SBQQ__SummaryFontWeight__c,SBQQ__SummaryFunction__c,SBQQ__SummaryLabel__c,SBQQ__SummaryLevel__c,SBQQ__SummaryShadingColor__c,SBQQ__SummaryTextColor__c,SBQQ__TextColor__c,SBQQ__TopMargin__c,SBQQ__WidthDiscardedWhenHidden__c,SBQQ__Width__c,Key__c,SBQQ__Section__c,Errors,Id
EUR,New price validity,a0s5E000003GcTYQA0,Left,,,,20,false,PriceValidity__c,,,Normal,,false,3,3,false,false,,,,,All,,,,,false,17,LC-0026,a185E000000r99HQAQ,,a0V5E000002AqksUAC
EUR,Description of goods,a0s5E000003GcTYQA0,Left,3,,,10,false,SBQQ__ProductName__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,5,LC-0025,,,a0V5E000002AqktUAC
EUR,Packaging,a0s5E000003GcTYQA0,Left,3,,,30,false,PackageDescription__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,20,LC-0027,,,a0V5E000002AqkuUAC
EUR,Quantity,a0s5E000003GcTYQA0,Right,3,,,40,false,QuantitywithUOM__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,8,LC-0028,,,a0V5E000002AqkvUAC
EUR,New total,a0s5E000003GcTYQA0,Right,,,,60,false,TotalQuotedPrice__c,,,Normal,,false,3,3,false,false,,,,,All,,,,,false,7.5,LC-0030,a185E000000r99HQAQ,,a0V5E000002AqkwUAC
EUR,QTY,a0s5E000003GcTZQA0,Left,3,,,10,false,SBQQ__Quantity__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,5,LC-0031,,,a0V5E000002AqkxUAC
EUR,PART #,a0s5E000003GcTZQA0,Left,3,,,20,false,SBQQ__ProductCode__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,10,LC-0032,,,a0V5E000002AqkyUAC
EUR,DESCRIPTION,a0s5E000003GcTZQA0,Left,3,,,30,false,SBQQ__Description__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,50,LC-0033,,,a0V5E000002AqkzUAC
EUR,UNIT PRICE,a0s5E000003GcTZQA0,Right,3,,,40,false,SBQQ__ListPrice__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,10,LC-0034,,,a0V5E000002Aql0UAC
EUR,DISC (%),a0s5E000003GcTZQA0,Right,3,,,50,false,SBQQ__Discount__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,10,LC-0035,,,a0V5E000002Aql1UAC
EUR,EXTENDED,a0s5E000003GcTZQA0,Right,3,,,60,false,SBQQ__NetTotal__c,,,Normal,,false,3,3,false,false,,,,,All,,,,3,false,15,LC-0036,,,a0V5E000002Aql2UAC
EUR,Quantity,a0s5E000003GcTXQA0,Center,,,,30,false,QuantitywithUOM__c,Roboto,,Normal,,false,1,1,false,false,,,,,All,,,,,false,8,LC-0050,a185E000000r995QAA,,a0V5E000002Aql3UAC
EUR,a Unit price,a0s5E000003GcTaQAK,Center,3,,,50,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,18,LC-0022,a185E000000r99MQAQ,,a0V5E000002Aql4UAC
EUR,a Total,a0s5E000003GcTaQAK,Center,3,,DontPrintLineColumn__c,60,false,TF_CustomerTotal__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,13,LC-0024,a185E000000r99MQAQ,,a0V5E000002Aql5UAC
EUR,a Line Nr.,a0s5E000003GcTaQAK,Center,3,,,5,false,SBQQ__Number__c,,,Normal,,false,3,0,false,false,,,,,All,,,,3,false,4,LC-0013,,,a0V5E000002Aql6UAC
EUR,a Description of goods,a0s5E000003GcTaQAK,Center,3,,,10,false,ProductDisplay__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,25.6,LC-0014,,,a0V5E000002Aql7UAC
USD,Total,a0s5E000003GcTbQAK,Center,,,DontPrintLineColumn__c,60,false,TF_CustomerTotal__c,Roboto,,Normal,,false,1,1,false,false,,,,,All,,,,,false,13,LC-0094,a185E000000r9A6QAI,,a0V5E000002Aql8UAC
USD,Unit price,a0s5E000003GcTbQAK,Center,,,,50,false,PricePerUOMwithUOM__c,Roboto,,Normal,,false,1,1,false,false,,,,,All,,,,,false,17,LC-0095,a185E000000r9A6QAI,,a0V5E000002Aql9UAC
USD,Unit price,a0s5E000003GcTbQAK,Center,,,,50,false,PricePerUOMwithUOM__c,Roboto,,Normal,,false,1,1,false,false,,,,,All,,,,,false,18,LC-0096,a185E000000r9A7QAI,,a0V5E000002AqlAUAS
EUR,荷姿 (Packaging),a0s5E000003GcTdQAK,Center,3,,,30,false,PackageDescription__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,11,LC-0101,a185E000000r99xQAA,,a0V5E000002AqlBUAS
EUR,荷姿 (Packaging),a0s5E000003GcTdQAK,Center,3,,,30,false,PackageDescription__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,11,LC-0102,a185E000000r99kQAA,,a0V5E000002AqlCUAS
EUR,お見積り価格 （Unit Price）,a0s5E000003GcTdQAK,Center,3,,,40,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,17.6,LC-0105,a185E000000r99xQAA,,a0V5E000002AqlDUAS
EUR,納品予定日 （Lead Time）,a0s5E000003GcTdQAK,Center,3,,,55,false,LeadTime__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,12.8,LC-0108,a185E000000r99kQAA,,a0V5E000002AqlEUAS
EUR,御見積数量条件 (Contracted Quantity),a0s5E000003GcTdQAK,Center,3,,,15,false,ContractQuantityWithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,26,LC-0109,a185E000000r99nQAA,,a0V5E000002AqlFUAS
EUR,適用期間 (Contracted term),a0s5E000003GcTdQAK,Center,3,,,17,false,ContractFromTo__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,44.4,LC-0110,a185E000000r99nQAA,,a0V5E000002AqlGUAS
EUR,Lead time 交货期,a0s5E000003GcTcQAK,Center,3,,,40,false,LeadTime__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,10.4,LC-0118,a185E000000r9A0QAI,,a0V5E000002AqlHUAS
EUR,製品名 (Product),a0s5E000003GcTdQAK,Center,3,,,10,false,ProductDisplay__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,24,LC-0098,,,a0V5E000002AqlIUAS
EUR,お見積り価格 （Unit Price）,a0s5E000003GcTdQAK,Center,3,,,40,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,17.6,LC-0106,a185E000000r99kQAA,,a0V5E000002AqlJUAS
EUR,見積適応期間 （Price Validity）,a0s5E000003GcTdQAK,Center,3,,,20,false,PriceValidity__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,15,LC-0100,a185E000000r99kQAA,,a0V5E000002AqlKUAS
EUR,ご発注数量条件 （MOQ）,a0s5E000003GcTdQAK,Center,3,,,50,false,QuantitywithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,14,LC-0103,a185E000000r99xQAA,,a0V5E000002AqlLUAS
EUR,Unit Price w/o VAT 不含税单价,a0s5E000003GcTcQAK,Center,3,,,50,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,18,LC-0120,a185E000000r9A0QAI,,a0V5E000002AqlMUAS
EUR,Package 包装,a0s5E000003GcTcQAK,Center,3,,,30,false,PackageDescription__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,15,LC-0116,a185E000000r9A0QAI,,a0V5E000002AqlNUAS
EUR,Unit Price incl. VAT 含税单价,a0s5E000003GcTcQAK,Center,3,,PrintLineColumnVAT__c,60,false,PriceIncludingVATwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,true,19,LC-0122,a185E000000r9A0QAI,,a0V5E000002AqlOUAS
EUR,行番 (No),a0s5E000003GcTdQAK,Center,3,,,5,false,SBQQ__Number__c,,,Normal,,false,3,0,false,false,,,,,All,,,,3,false,5.6,LC-0097,,,a0V5E000002AqlPUAS
EUR,Line Nr. 序号,a0s5E000003GcTcQAK,Center,3,,,5,false,SBQQ__Number__c,,,Normal,,false,3,0,false,false,,,,,All,,,,3,false,4,LC-0111,,,a0V5E000002AqlQUAS
EUR,Package 包装,a0s5E000003GcTcQAK,Center,3,,,30,false,PackageDescription__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,15,LC-0115,a185E000000r99wQAA,,a0V5E000002AqlRUAS
EUR,納品予定日 （Lead Time）,a0s5E000003GcTdQAK,Center,3,,,55,false,LeadTime__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,12.8,LC-0107,a185E000000r99xQAA,,a0V5E000002AqlSUAS
EUR,Unit Price w/o VAT 不含税单价,a0s5E000003GcTcQAK,Center,3,,,50,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,18,LC-0119,a185E000000r99wQAA,,a0V5E000002AqlTUAS
EUR,Quantity 数量,a0s5E000003GcTcQAK,Center,3,,,10,false,QuantitywithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,8,LC-0113,a185E000000r99wQAA,,a0V5E000002AqlUUAS
EUR,Unit Price incl. VAT 含税单价,a0s5E000003GcTcQAK,Center,3,,PrintLineColumnVAT__c,60,false,PriceIncludingVATwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,19,LC-0121,a185E000000r99wQAA,,a0V5E000002AqlVUAS
EUR,見積適応期間 （Price Validity）,a0s5E000003GcTdQAK,Center,3,,,20,false,PriceValidity__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,15,LC-0099,a185E000000r99xQAA,,a0V5E000002AqlWUAS
EUR,Quantity 数量,a0s5E000003GcTcQAK,Center,3,,,10,false,QuantitywithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,8,LC-0114,a185E000000r9A0QAI,,a0V5E000002AqlXUAS
EUR,Lead time 交货期,a0s5E000003GcTcQAK,Center,3,,,40,false,LeadTime__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,10.4,LC-0117,a185E000000r99wQAA,,a0V5E000002AqlYUAS
EUR,ご発注数量条件 （MOQ）,a0s5E000003GcTdQAK,Center,3,,,50,false,QuantitywithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,14,LC-0104,a185E000000r99kQAA,,a0V5E000002AqlZUAS
EUR,Product Description  产品描述,a0s5E000003GcTcQAK,Center,3,,,20,false,ProductDisplay__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,25.6,LC-0112,,,a0V5E000002AqlaUAC
EUR,a Price validity,a0s5E000003GcTaQAK,Center,3,,,20,false,PriceValidity__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,11,LC-0017,a185E000000r99MQAQ,,a0V5E000002AqlbUAC
EUR,a Price validity,a0s5E000003GcTaQAK,Center,3,,,20,false,PriceValidity__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,24,LC-0018,a185E000000r99LQAQ,,a0V5E000002AqlcUAC
EUR,a Packaging,a0s5E000003GcTaQAK,Center,3,,,30,false,PackageDescription__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,10,LC-0019,a185E000000r99MQAQ,,a0V5E000002AqldUAC
EUR,a Quantity,a0s5E000003GcTaQAK,Center,3,,,40,false,QuantitywithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,8,LC-0020,a185E000000r99MQAQ,,a0V5E000002AqleUAC
EUR,a Unit price,a0s5E000003GcTaQAK,Center,3,,,50,false,PricePerUOMwithUOM__c,,,Normal,,false,1,1,false,false,,,,,All,,,,3,false,18,LC-0023,a185E000000r99LQAQ,,a0V5E000002AqlfUAC
