CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYBQA2,CustomerServiceName__c,AdditionalTeamMember.UserName__c,,UserName__c,Quote,,,,,,a0a5E000004m1YOQAY
EUR,a0c5E0000020LYBQA2,CustomerServicePhone__c,AdditionalTeamMember__c.Phone__c,,Phone__c,Quote,,,,,,a0a5E000004m1YPQAY
EUR,a0c5E0000020LYBQA2,CustomerServiceEmail__c,,,Email__c,Quote,,AdditionalTeamMember__c.Email__c,,,,a0a5E000004m1YQQAY
EUR,a0c5E0000020LYIQA2,OpenPriceRenewalCampaignCreator__c,,,CreatedByName__c,Quote Line,,,,,,a0a5E000004m1YRQAY
EUR,a0c5E0000020LYGQA2,PrevContractedPrice__c,,,Id,Quote Line,,,,,,a0a5E000004m1YSQAY
EUR,a0c5E0000020LYIQA2,OpenPriceRenewalCampaignName__c,,,Name,Quote Line,,,,,,a0a5E000004m1YTQAY
EUR,a0c5E0000020LYfQAM,PricePerUOM__c,"BLANKVALUE(SBQQ__NetPrice__c, 0)   / BLANKVALUE(UOMconversion__c, 1)",,,Quote Line,,,,,,a0a5E000004m1YUQAY
EUR,a0c5E0000020LYIQA2,PriceRenewalCampaignItem__c,,,Id,Quote Line,,,,,,a0a5E000004m1YVQAY
EUR,a0c5E0000020LYHQA2,PriceRenewalCampaignItem__c,null,,,Quote Line,,,,,,a0a5E000004m1YWQAY
EUR,a0c5E0000020LYeQAM,Discount (%),,,,Quote Line,,0,,,,a0a5E000004m1YXQAY
EUR,a0c5E0000020LYMQA2,TF_PurchasePrice__c,,,,Quote Line,,null,,,,a0a5E000004m1YYQAY
EUR,a0c5E0000020LYFQA2,PrevContractedPrice__c,null,,,Quote Line,,null,,,,a0a5E000004m1YZQAY
